14716,移动电源,深圳,爆炸,深圳地铁4号线因乘客携带移动电源爆炸紧急停车,http://news.qq.com/a/20140508/054939.htm
307,电源,南宁,爆炸 起火 短路,广西消委会抽检移动电源 3款产品在试验中起火爆炸,http://www.nnnews.net/news/201611/t20161130_1726363.html
1522,手机,"",爆炸,iPhone 6美国爆炸 用户差一点被毁容,http://tech.sina.com.cn/mobile/n/n/2017-12-05/doc-ifyphxwa7896559.shtml
14717,"",深圳,爆炸,深圳U盘移动电源大家对移动电源的认知,http://sh.qihoo.com/pc/99340b9e5d57c3f65?sign=360_e39369d1
14718,"","",爆炸 短路 燃烧,18650电池短路会爆炸吗_一节18650电池爆炸威力多大,http://m.elecfans.com/article/620880.html
14719,移动电源,"",爆炸,旅客机场怒摔移动电源：引发小型爆炸,http://tech.ifeng.com/a/20170707/44649289_0.shtml
310,电池,宁波,爆炸 起火 短路,iPad也爆炸了，电池的伤害要如何才能停止啊,http://minipower.zol.com.cn/618/6187931.html
14720,"","",爆炸,枪击小米移动电源 打穿之后会不会爆炸,http://news.imobile.com.cn/articles/2015/0807/157602.shtml
314,电源,"",爆炸 燃烧 触电,移动电源为啥总爆炸？,http://www.eepw.com.cn/article/274078.htm
14721,电瓶,扬州,着火 爆炸 起火,疑电瓶爆炸车库起火 热心邻居帮忙成功扑灭火情,http://jiangsu.sina.com.cn/news/s/2017-09-29/detail-ifymkwwk6893539.shtml
14722,手机,达州,爆炸 短路,"iPhone8充电发生爆裂， 原来电池和三星一样!",http://www.chinaz.com/mobile/2017/1003/812143.shtml
62,燃气灶 电磁炉,昆明,爆炸 感染 着火,燃气爆炸 两人受伤,http://sh.qihoo.com/pc/943af09ce48413972?sign=360_e39369d1
303,手机 电源 电池,武汉,爆炸 起火 火灾,南航充电宝起火 武汉充电宝爆炸 充电宝怎么选比较安全,http://www.mnw.cn/news/digi/1948978.html
321,电源,"",爆炸 火灾,英国旅客机场怒摔移动电源，结果摔爆炸了……,https://www.ithome.com/html/it/315776.htm
324,电源,"",爆炸,[视频]枪击小米移动电源 会爆炸吗？,http://digi.163.com/15/0806/15/B0BITOVL00162OUT.html
1488,电脑 笔记本,"",爆炸 火灾 燃烧,视频｜充电一整夜 笔记本电脑爆炸火星四溅烧毁办公室,http://news.sina.com.cn/o/2018-04-06/doc-ifyuwqez5816454.shtml
14723,"","",急救 昏迷 爆炸,邊講邊充電 手機爆炸 印度女子慘死,http://www.chinatimes.com/realtimenews/20180320000959-260408
68,变压器,"",撞击 短路 畸变,变压器短路阻抗测试仪技术参数,http://www.chem17.com/tech_news/detail/1485571.html
14724,充电宝,长沙,爆炸着火,放抽屉里炸了！你的充电宝躺在哪,http://hn.rednet.cn/c/2018/02/28/4563823.htm
69,电源 电脑 插座,"",短路 漏电 火灾,低压配电系统中漏电、短路及零线断线原理,http://www.jdzj.com/diangong/article/2018-5-10/103746-1.htm
14725,充电宝,深圳,短路 爆炸,飞机已经滑行，旅客的充电宝突然冒烟！被移交公安……出行携带充电宝，一定注意这些！,http://news.sina.com.cn/o/2017-08-02/doc-ifyinwmp1468005.shtml
14726,移动电源,"",爆炸 火灾,一旅客怒摔移动电源 引发伊斯坦堡机场小型爆炸,http://news.carnoc.com/list/410/410271.html
14727,充电宝,广州,自燃 起火,这哥们玩手机玩出火，逼停地铁！广州地铁早就有禁用规定！,http://news.sina.com.cn/o/2017-08-01/doc-ifyinryq7522336.shtml
14728,"",广州,燃烧 短路 爆炸,别让移动电源成移动危害源,http://www.cqn.com.cn/zgzlb/content/2018-02/28/content_5483509.htm
